"OTU","AUC","abs_AUC","WaldStatistic","DF","p_value","adj_p_value"
"G000956175",-4e-04,4e-04,61.4942,6,2.236e-11,7.33939385847797e-11
"G000242875",-3e-04,3e-04,29.4255,6,5.053e-05,8.6585122843701e-05
"G000299395",-2e-04,2e-04,15.4711,6,0.01689,0.0215150595854922
"G000299365",1e-04,1e-04,29.2165,6,5.536e-05,9.43355120429735e-05
"G000018465",-4e-04,4e-04,61.7254,6,2.007e-11,6.59874222668004e-11
"G000724145",-2e-04,2e-04,31.5411,6,1.998e-05,3.66231724137931e-05
"G000722915",0,0,18.8503,6,0.004424,0.0060315563565784
"G001717015",-4e-04,4e-04,16.2948,6,0.01226,0.0158826030825978
"G001717025",-2e-04,2e-04,13.6424,6,0.0339,0.041598777140005
"G001717005",9e-04,9e-04,12.9911,6,0.04318,0.052333265960069
"G001717035",-0.0011,0.0011,25.4603,6,0.0002805,0.000434741843971631
"G000960885",-3e-04,3e-04,32.1918,6,1.499e-05,2.86069590529788e-05
"G001516655",-1e-04,1e-04,30.6319,6,2.98e-05,5.28785997834717e-05
"G000015805",3e-04,3e-04,33.0316,6,1.034e-05,2.04924546553809e-05
"G000015205",-1e-04,1e-04,29.0011,6,6.081e-05,0.000102926943201377
"G000019805",-1e-04,1e-04,26.5185,6,0.0001782,0.000283425327510917
"G000234805",3e-04,3e-04,30.8824,6,2.669e-05,4.77477642350373e-05
"G000016385",2e-04,2e-04,32.059,6,1.59e-05,2.99886075949367e-05
"G001515905",-1e-04,1e-04,25.0041,6,0.0003409,0.000522507886533666
"G001316285",4e-04,4e-04,32.5131,6,1.301e-05,2.54912014345487e-05
"G000264495",-3e-04,3e-04,33.5987,6,8.04e-06,1.61029246435845e-05
"G001316065",0,0,21.336,6,0.001596,0.00228358271497163
"G000317795",-3e-04,3e-04,55.9056,6,3.042e-10,9.126e-10
"G000495695",6e-04,6e-04,8.458,6,0.2064,0.229452588740674
"G000495675",-2e-04,2e-04,32.4091,6,1.362e-05,2.65330982567353e-05
"G000495715",0.0013,0.0013,12.3348,6,0.0549,0.065759634591961
"G000495735",2e-04,2e-04,17.1222,6,0.008844,0.0116521832797428
"G000632495",-2e-04,2e-04,32.2129,6,1.485e-05,2.84114591439689e-05
"G000243315",0,0,25.0062,6,0.0003406,0.000522507886533666
"G001719125",-2e-04,2e-04,32.4164,6,1.358e-05,2.64709058473736e-05
"G000175555",-0.0045,0.0045,78.8384,6,6.217e-15,2.50873935166188e-14
"G000968435",0,0,28.7075,6,6.91e-05,0.000115940863333902
"G000022425",-2e-04,2e-04,32.0139,6,1.622e-05,3.0475254107757e-05
"G000011205",0,0,38.8879,6,7.529e-07,1.68234914792093e-06
"G001560465",-0.003,0.0031,461.1756,6,0,0
"G001871535",3e-04,3e-04,30.8824,6,2.669e-05,4.77477642350373e-05
"G001871475",1e-04,1e-04,31.9758,6,1.649e-05,3.07884298462123e-05
"G001873845",4e-04,4e-04,32.2995,6,1.43e-05,2.76551032448378e-05
"G001742785",2e-04,2e-04,56.2668,6,2.571e-10,7.74133925290876e-10
"G001723845",-3e-04,3e-04,32.2152,6,1.484e-05,2.8403378746594e-05
"G001723835",0,0,11.5148,6,0.07371,0.0869558709213052
"G001723855",0,0,31.6376,6,1.915e-05,3.52002056074766e-05
"G000007185",3e-04,3e-04,12.7118,6,0.04785,0.0576804241235597
"G002011125",-2e-04,2e-04,51.9139,6,1.941e-09,5.44898487011133e-09
"G000092305",0,0,28.7919,6,6.661e-05,0.000112145649717514
"G000371805",1e-04,1e-04,22.0036,6,0.001209,0.0017512602739726
"G000739065",-1e-04,1e-04,26.5185,6,0.0001782,0.000283425327510917
"G000025525",0,0,30.7526,6,2.826e-05,5.03458043478261e-05
"G000243455",-2e-04,2e-04,52.7629,6,1.31e-09,3.72650853341047e-09
"G000214415",1e-04,1e-04,30.732,6,2.852e-05,5.07905976095618e-05
"G000017185",-7e-04,7e-04,119.8129,6,0,0
"G000179575",0,0,18.2001,6,0.005751,0.00773247662018048
"G000376965",-3e-04,3e-04,32.1942,6,1.498e-05,2.85934239130435e-05
"G002009965",3e-04,3e-04,44.3254,6,6.371e-08,1.56318398203593e-07
"G000006175",-4e-04,4e-04,64.0771,6,6.656e-12,2.26175203870076e-11
"G000017165",-7e-04,7e-04,10.786,6,0.09522,0.110580240906944
"G000220645",-0.0011,0.0011,45.5945,6,3.565e-08,8.95941988244314e-08
"G000017225",0,0,14.985,6,0.02037,0.0256457022148252
"G000018485",-0.0012,0.0012,17.2358,6,0.008454,0.0111607780910189
"G000166095",0,0,10.847,6,0.09322,0.108475385161519
"G001507955",0,0,30.6672,6,2.934e-05,5.21658940517086e-05
"G900095815",1e-04,1e-04,17.2681,6,0.008347,0.0110284022571544
"G000145295",-2e-04,2e-04,8.1941,6,0.2242,0.248090784291662
"G000828575",4e-04,4e-04,28.2963,6,8.262e-05,0.000137313685989522
"G000008645",6e-04,6e-04,57.6573,6,1.345e-10,4.14501096834848e-10
"G000513315",-0.0025,0.0025,55.371,6,3.901e-10,1.16073930408472e-09
"G000404165",-0.0014,0.0014,115.2554,6,0,0
"G000621965",-0.0095,0.0095,299.5894,6,0,0
"G000024185",-0.0015,0.0015,32.8352,6,1.128e-05,2.2252260782347e-05
"G001639275",-0.0046,0.0046,44.289,6,6.478e-08,1.58666630136986e-07
"G001548675",-0.0024,0.0025,20.9932,6,0.00184,0.00261936305732484
"G001477655",-0.0039,0.004,41.5833,6,2.222e-07,5.21258301526718e-07
"G000190095",-0.0043,0.0043,60.5484,6,3.482e-11,1.12967750659631e-10
"G000190155",-0.0049,0.0049,66.2609,6,2.384e-12,8.32241959531416e-12
"G000190135",-0.0048,0.0048,65.8479,6,2.895e-12,1.00527648305085e-11
"G000016525",-0.0037,0.0037,51.43,6,2.428e-09,6.73728893905192e-09
"G000824705",-0.004,0.004,70.224,6,3.678e-13,1.34209469387755e-12
"G000437055",-0.0026,0.0026,65.769,6,3.005e-12,1.04273712067749e-11
"G000012545",-0.0066,0.0066,228.0183,6,0,0
"G001729395",-0.0061,0.0061,173.9721,6,0,0
"G001729285",-1e-04,1e-04,9.822,6,0.1324,0.151081643072639
"G000745485",3e-04,3e-04,39.7787,6,5.035e-07,1.14510152636448e-06
"G000214725",-4e-04,4e-04,16.0237,6,0.01363,0.0175579538904899
"G000191585",3e-04,3e-04,52.2754,6,1.642e-09,4.62544485820682e-09
"G000744455",-9e-04,9e-04,57.0174,6,1.812e-10,5.52704962779156e-10
"G000302455",3e-04,3e-04,42.2335,6,1.654e-07,3.92695219700628e-07
"G000309865",3e-04,3e-04,30.6641,6,2.938e-05,5.22181312127237e-05
"G000499765",-4e-04,4e-04,58.9785,6,7.256e-11,2.29217809187279e-10
"G001316325",3e-04,3e-04,35.3561,6,3.676e-06,7.6539877196697e-06
"G000762265",-8e-04,8e-04,24.0698,6,0.000507,0.000763761948529412
"G001458655",-3e-04,3e-04,33.6724,6,7.782e-06,1.56275654482336e-05
"G001509005",1e-04,1e-04,38.5486,6,8.774e-07,1.94683023465704e-06
"G000953115",-3e-04,3e-04,66.0438,6,2.64e-12,9.18675159235669e-12
"G001875345",-3e-04,3e-04,32.2756,6,1.445e-05,2.78684644047853e-05
"G001875425",-2e-04,2e-04,31.9616,6,1.66e-05,3.0923356696344e-05
"G000246735",-1e-04,1e-04,29.9723,6,3.979e-05,6.9108947368421e-05
"G001629205",0,0,23.1564,6,0.0007458,0.00110288679699248
"G002011395",-6e-04,6e-04,14.5104,6,0.02443,0.0304840274076894
"G000327505",-2e-04,2e-04,31.1583,6,2.364e-05,4.28605752212389e-05
"G001402935",-0.0015,0.0015,32.4029,6,1.366e-05,2.66057516339869e-05
"G900090055",2e-04,2e-04,32.3184,6,1.418e-05,2.74770679802956e-05
"G001856845",0,0,25.0062,6,0.0003406,0.000522507886533666
"G001595875",8e-04,8e-04,25.6942,6,0.0002538,0.000395981151832461
"G001595945",-1e-04,1e-04,32.1524,6,1.526e-05,2.90152436194896e-05
"G001800735",-7e-04,7e-04,24.1029,6,5e-04,0.000753332311935039
"G001800815",-1e-04,1e-04,29.9183,6,4.074e-05,7.06341960507757e-05
"G001800675",-4e-04,4e-04,13.632,6,0.03403,0.0417478817365269
"G000404225",-0.0032,0.0032,49.1406,6,6.988e-09,1.86384572823434e-08
