"OTU","AUC","abs_AUC","WaldStatistic","DF","p_value","adj_p_value"
"G000014565",-4e-04,4e-04,56.4948,6,2.312e-10,6.98930464186904e-10
"G000454045",-0.0046,0.0046,148.6063,6,0,0
"G000196695",-0.0055,0.0056,108.758,6,0,0
"G000738775",2e-04,3e-04,29.8979,6,4.111e-05,7.12505710257314e-05
"G001894865",-0.0037,0.0037,59.4252,6,5.889e-11,1.87540239637306e-10
"G000341795",-0.0012,0.0012,13.5233,6,0.03544,0.0434126756352765
"G000380645",-0.0017,0.0017,23.494,6,0.0006468,0.000962419609623241
"G001552855",-0.0015,0.0015,58.5779,6,8.75e-11,2.74561263560944e-10
"G000308635",9e-04,9e-04,23.3146,6,0.0006977,0.00103549378207063
"G001865855",-4e-04,4e-04,3.2829,6,0.7726,0.793332818210295
"G000308655",4e-04,5e-04,10.7661,6,0.09588,0.111267868775077
"G000381925",-0.0042,0.0042,64.6911,6,4.988e-12,1.71032050209205e-11
"G000308615",-0.0053,0.0053,129.2517,6,0,0
"G000308875",2e-04,3e-04,5.2436,6,0.513,0.54036439588689
"G000526215",-5e-04,5e-04,13.4112,6,0.03695,0.0451779559865722
"G000523235",-0.0023,0.0023,13.9734,6,0.02994,0.0369979844181955
"G001613505",-0.0013,0.0013,16.1498,6,0.01297,0.0167494392646093
"G000308855",-3e-04,3e-04,26.9774,6,0.0001462,0.000235076978417266
"G000284035",0.0032,0.0032,55.5539,6,3.583e-10,1.07065396536007e-09
"G000720425",-0.0035,0.0035,65.2555,6,3.826e-12,1.32017136842105e-11
"G000308515",-0.004,0.004,49.4389,6,6.09e-09,1.63363502454992e-08
"G000308675",-6e-04,6e-04,2.8567,6,0.8266,0.845427394695788
"G000308495",-0.0032,0.0032,52.6064,6,1.408e-09,3.99488517022504e-09
"G000308795",-0.0016,0.0016,12.6784,6,0.04844,0.0583344305657605
"G001886715",2e-04,3e-04,2.11,6,0.9093,0.922336895306859
"G000308355",1e-04,1e-04,12.2676,6,0.05626,0.0672821160160525
"G000719275",-0.005,0.005,81.1242,6,2.109e-15,8.66690597576264e-15
"G000308595",-0.0026,0.0026,35.7052,6,3.145e-06,6.59444136460554e-06
"G001182745",-0.0036,0.0037,36.0389,6,2.709e-06,5.71680386266094e-06
"G001310275",-0.0032,0.0033,28.4405,6,7.761e-05,0.000129380698423462
"G000308695",5e-04,7e-04,15.8992,6,0.01431,0.0183929603973337
"G000308835",-0.0011,0.0011,10.3329,6,0.1113,0.128299636619388
"G000308715",-0.0027,0.0027,30.2444,6,3.532e-05,6.20355206286837e-05
"G000250675",-7e-04,7e-04,4.4491,6,0.6161,0.642699416569428
"G000482385",-0.0018,0.0018,39.8308,6,4.917e-07,1.11930041666667e-06
"G000308755",-0.0018,0.0018,9.7973,6,0.1335,0.15226617954071
"G001613465",-0.0012,0.0012,4.4284,6,0.6189,0.645346474392959
"G001612765",-0.003,0.003,35.9753,6,2.787e-06,5.87384440634376e-06
"G000515395",-9e-04,9e-04,7.4008,6,0.2854,0.311708529542426
"G001005145",8e-04,9e-04,2.5882,6,0.8585,0.875595208462975
"G001270745",-0.0024,0.0024,47.7993,6,1.296e-08,3.3986304e-08
"G000373925",-0.001,0.001,14.1007,6,0.02853,0.0353444217687075
"G900101785",-0.0015,0.0015,8.1919,6,0.2244,0.248284158415842
"G900105065",-0.0048,0.0048,69.6171,6,4.899e-13,1.77250794701987e-12
"G000270245",-0.0021,0.0021,16.8875,6,0.009706,0.0127227293082767
"G000423085",-0.003,0.003,57.3643,6,1.542e-10,4.729890205864e-10
"G900092135",-0.0044,0.0045,54.3968,6,6.136e-10,1.79694532459798e-09
"G000826085",-0.0047,0.0047,129.134,6,0,0
"G000423465",-0.0043,0.0043,147.7593,6,0,0
"G000277715",0.0048,0.0048,29.1631,6,5.666e-05,9.63837467566165e-05
"G000826065",8e-04,0.0012,7.0387,6,0.3173,0.343913611815276
"G000619965",-0.0045,0.0045,62.399,6,1.463e-11,4.86380730223124e-11
"G000421525",-6e-04,6e-04,1.5591,6,0.9555,0.96383085444661
"G900163845",-0.0024,0.0024,52.3021,6,1.621e-09,4.57283820998279e-09
"G000426605",1e-04,0.0023,56.9065,6,1.908e-10,5.79829171817058e-10
"G000413315",0.0018,0.0018,7.744,6,0.2575,0.282523150730782
"G000423485",5e-04,5e-04,10.846,6,0.09326,0.108509091339328
"G001441165",-0.0014,0.0014,43.1735,6,1.078e-07,2.59448164464023e-07
"G000425285",-0.0029,0.0029,37.3469,6,1.507e-06,3.26212590799031e-06
"G000423445",-0.0018,0.0018,74.2334,6,5.518e-14,2.11390775223997e-13
"G000463665",0.0024,0.0024,35.1085,6,4.106e-06,8.50608889825153e-06
"G000367205",-9e-04,9e-04,10.8336,6,0.09366,0.108935829686576
"G000204235",9e-04,9e-04,2.1349,6,0.9069,0.920092293407614
"G000221145",0.0019,0.0019,47.2729,6,1.651e-08,4.28728122524426e-08
"G000008345",0.0054,0.0054,27.1548,6,0.0001354,0.000218964578194376
"G000145555",0.0043,0.0043,19.328,6,0.003644,0.00502596016830294
"G000145515",0.0032,0.0032,18.6002,6,0.004895,0.00663459611409674
"G000144735",0.004,0.004,15.7287,6,0.01529,0.0195758182528317
"G000372465",-0.0018,0.0018,39.3199,6,6.195e-07,1.39600435380385e-06
"G000024345",-0.0065,0.0066,94.6137,6,0,0
"G000312105",-1e-04,1e-04,6.154,6,0.4062,0.434145288555592
"G001428805",-0.0017,0.0017,10.5091,6,0.1048,0.121218913196895
"G001426485",-0.0051,0.0051,58.8583,6,7.676e-11,2.42019185636422e-10
"G000160775",-0.001,0.001,9.7305,6,0.1365,0.155525547445255
"G000471045",9e-04,9e-04,2.318,6,0.8883,0.902805105415461
"G001423365",-0.0036,0.0036,31.8081,6,1.776e-05,3.28539954853273e-05
"G001426755",-0.001,0.0011,28.9631,6,6.182e-05,0.000104546496990542
"G000426045",-0.0049,0.0049,78.5031,6,7.327e-15,2.94818813420622e-14
"G001424755",-0.0033,0.0034,26.6156,6,0.0001709,0.000272696835956515
"G000720335",-0.0023,0.0023,30.8498,6,2.708e-05,4.8383851744186e-05
"G000426525",-0.0027,0.0027,39.9594,6,4.64e-07,1.05869512761021e-06
"G001427925",-3e-04,3e-04,12.112,6,0.05952,0.0710167046833293
"G001429555",-0.0131,0.0131,481.8311,6,0,0
"G001428125",5e-04,5e-04,37.4599,6,1.432e-06,3.10798675789009e-06
"G001429625",-3e-04,3e-04,6.1922,6,0.402,0.430123816777282
"G000389985",-0.001,0.0011,7.385,6,0.2867,0.313024070167647
"G001423135",-0.0023,0.0023,97.2677,6,0,0
"G000422805",5e-04,5e-04,1.0637,6,0.9831,0.989337433483422
"G000620705",-0.0019,0.0019,13.8389,6,0.03149,0.038791514468245
"G000015265",-9e-04,0.001,25.5463,6,0.0002704,0.000420280322427691
"G000620645",-7e-04,7e-04,4.2019,6,0.6494,0.675573849571565
"G000422825",-0.0034,0.0034,30.1315,6,3.711e-05,6.49937203918077e-05
"G000364605",-0.0038,0.0038,49.3501,6,6.345e-09,1.69787020408163e-08
"G000960475",-0.0022,0.0022,64.0837,6,6.636e-12,2.2565153526971e-11
"G000785495",-0.0025,0.0025,78.7065,6,6.661e-15,2.68350159770586e-14
"G001428565",-0.0015,0.0015,6.645,6,0.3549,0.382768874753235
"G001427795",-0.0015,0.0015,26.4673,6,0.0001822,0.000289412825068648
"G001428765",-0.0017,0.0017,56.3793,6,2.44e-10,7.35816007359706e-10
"G000519005",-0.0074,0.0074,163.0966,6,0,0
"G000015025",-2e-04,2e-04,16.8023,6,0.01004,0.0131311823380769
"G000012405",-0.0013,0.0013,7.1395,6,0.3081,0.334421125827815
"G000341105",7e-04,9e-04,5.4898,6,0.4827,0.510581026137464
"G000341205",-0.0032,0.0032,25.7239,6,0.0002506,0.000391485369340747
"G000341185",-0.0055,0.0055,73.65,6,7.272e-14,2.75791932124952e-13
"G000341165",-6e-04,6e-04,6.8412,6,0.3358,0.363164764104256
"G000981225",-0.002,0.002,30.5103,6,3.143e-05,5.55404528301887e-05
"G000826685",-0.0027,0.0027,16.7563,6,0.01022,0.0133523953766441
"G000341025",-0.0028,0.0028,38.87,6,7.59e-07,1.69443950056754e-06
"G000341145",-0.0014,0.0015,9.2882,6,0.158,0.178532919682868
"G000340965",4e-04,4e-04,55.1581,6,4.307e-10,1.27498609271523e-09
"G001279585",-0.0032,0.0032,32.3973,6,1.369e-05,2.66483491686461e-05
"G000341125",-0.0025,0.0026,33.9865,6,6.768e-06,1.36919382843036e-05
"G000515115",-0.0014,0.0014,10.3384,6,0.1111,0.128099120647204
"G000092985",-0.0022,0.0022,14.7713,6,0.02211,0.0277298482336437
"G000341065",-0.0046,0.0046,204.2128,6,0,0
"G000341085",-0.0023,0.0023,29.6584,6,4.564e-05,7.8672e-05
"G000294515",-0.0025,0.0025,27.6071,6,0.0001114,0.000182189855313487
"G000341005",-0.0013,0.0013,9.6819,6,0.1387,0.157885843268897
"G000024385",-0.0049,0.0049,98.4313,6,0,0
"G000518265",-0.0022,0.0022,25.7756,6,0.0002451,0.000383136766809728
"G000374305",-0.0036,0.0036,45.141,6,4.388e-08,1.09327570306562e-07
"G000381885",-0.0051,0.0051,66.4514,6,2.179e-12,7.62301173959445e-12
"G000718255",-0.0012,0.0012,10.3189,6,0.1118,0.128830700726506
"G000468475",-0.0047,0.0047,46.5966,6,2.252e-08,5.77174042220485e-08
"G000425065",-0.0025,0.0025,23.8754,6,0.0005506,0.000826025995423341
"G001570525",-5e-04,5e-04,32.1392,6,1.534e-05,2.91448145285935e-05
"G000092645",-0.0039,0.0039,60.8406,6,3.037e-11,9.89263265982113e-11
"G001552515",-0.006,0.006,91.9129,6,0,0
"G000511135",-8e-04,8e-04,40.3002,6,3.976e-07,9.1440561272217e-07
"G000718475",-0.0037,0.0037,32.4902,6,1.314e-05,2.57254150905833e-05
"G000715975",-0.0072,0.0072,107.0252,6,0,0
"G900100605",-0.0055,0.0055,58.659,6,8.424e-11,2.64669699680511e-10
"G001417755",-0.0059,0.0059,75.4316,6,3.131e-14,1.219416e-13
"G000379885",-0.003,0.003,31.994,6,1.636e-05,3.06446171428571e-05
"G000725485",-0.006,0.006,74.101,6,5.873e-14,2.24465923047027e-13
"G000721075",-0.0057,0.0057,74.0125,6,6.128e-14,2.33848474970896e-13
"G000024865",-0.0041,0.0041,42.1966,6,1.682e-07,3.98861538461538e-07
"G001696485",-0.0027,0.0027,62.0981,6,1.685e-11,5.57546769851952e-11
"G001653075",-0.0034,0.0034,31.1676,6,2.355e-05,4.27289114391144e-05
"G000384115",-9e-04,9e-04,15.2576,6,0.01835,0.0232633621245327
"G000024025",-0.0032,0.0032,55.507,6,3.662e-10,1.09359574855755e-09
"G000504285",-0.005,0.005,79.5934,6,4.33e-15,1.75882775712515e-14
"G000372745",-0.0014,0.0014,27.0827,6,0.0001397,0.000225584532019704
"G000744815",-0.001,0.001,12.5467,6,0.05083,0.0611227953044754
"G000744705",-0.0033,0.0033,117.4978,6,0,0
"G000744655",-0.0047,0.0047,79.8473,6,3.886e-15,1.58108911874224e-14
"G000787835",-7e-04,8e-04,2.174,6,0.903,0.916324631101021
"G000787795",8e-04,9e-04,4.105,6,0.6625,0.687964625131996
"G001418575",-0.0047,0.0047,56.9519,6,1.868e-10,5.68727925696594e-10
"G000744785",-0.0012,0.0012,12.0962,6,0.05986,0.0713877322338103
"G000744225",-0.0019,0.0019,34.6207,6,5.104e-06,1.04720918005425e-05
"G000718025",-9e-04,9e-04,19.3852,6,0.00356,0.00491769068689423
"G001625365",-0.004,0.004,53.1692,6,1.085e-09,3.11075510204082e-09
"G001888885",-0.004,0.004,37.8996,6,1.175e-06,2.57176719341197e-06
"G001429805",-0.0036,0.0036,54.1735,6,6.806e-10,1.98605946587537e-09
"G000955975",-0.0018,0.0018,52.3693,6,1.572e-09,4.43970361860999e-09
"G000710465",0.0018,0.0018,5.6623,6,0.4621,0.490426440751133
"G000717715",-0.0029,0.0029,32.2311,6,1.473e-05,2.82423123415871e-05
"G000269985",-0.0029,0.0029,43.5983,6,8.88e-08,2.15141463414634e-07
"G000696185",-0.0047,0.0047,55.2556,6,4.116e-10,1.22064969843185e-09
"G000380165",-0.0025,0.0025,52.2984,6,1.624e-09,4.57998738170347e-09
"G000240165",-0.002,0.002,11.5046,6,0.07398,0.08725345646438
"G000373665",-0.0036,0.0036,41.1578,6,2.696e-07,6.2870438700498e-07
"G900142575",-0.0069,0.0069,130.3983,6,0,0
"G000745345",-0.0031,0.0031,40.1323,6,4.29e-07,9.82941752096924e-07
"G001011035",-2e-04,2e-04,5.8721,6,0.4377,0.465888277952159
"G000993785",-0.0016,0.0016,10.1501,6,0.1185,0.136072979915927
"G000719135",4e-04,4e-04,10.0206,6,0.1238,0.14186077837334
"G001493375",-0.0041,0.0041,41.2261,6,2.613e-07,6.10072222222222e-07
"G001083795",-7e-04,7e-04,38.0298,6,1.108e-06,2.43270194239786e-06
"G000718985",-0.0032,0.0032,76.4999,6,1.887e-14,7.41973530587765e-14
"G000424845",-0.0053,0.0053,217.692,6,0,0
"G000424825",-0.0018,0.0018,6.5604,6,0.3634,0.391549863043716
"G000497405",-0.0043,0.0043,56.9066,6,1.908e-10,5.79829171817058e-10
"G000426325",-0.0033,0.0033,50.722,6,3.368e-09,9.22588077994429e-09
"G000424965",-0.0018,0.0018,21.2164,6,0.001677,0.00239494888178914
"G000964305",4e-04,4e-04,37.788,6,1.236e-06,2.69987205686362e-06
"G900090125",-2e-04,2e-04,9.9956,6,0.1248,0.142973345759553
"G000381025",-1e-04,3e-04,54.2978,6,6.424e-10,1.87737343239227e-09
"G000721445",-0.0032,0.0032,34.7594,6,4.798e-06,9.86277842809364e-06
"G000424785",-0.0059,0.0059,72.5013,6,1.253e-13,4.68873744292237e-13
"G001751375",-0.0024,0.0024,21.7022,6,0.001371,0.00197284372256365
"G001418495",0.001,0.0011,32.2978,6,1.431e-05,2.76635620208374e-05
"G000092385",-0.001,0.0011,4.0549,6,0.6692,0.694335598227474
"G000158915",-0.0042,0.0042,104.6095,6,0,0
"G000147815",6e-04,6e-04,12.4096,6,0.05343,0.06410817715959
"G000938975",1e-04,2e-04,46.6188,6,2.229e-08,5.71726291079812e-08
"G000718635",-0.0031,0.0031,47.8468,6,1.268e-08,3.32875387079552e-08
"G000719265",0.0036,0.0036,91.7069,6,0,0
"G001187435",-0.0017,0.0018,82.591,6,9.992e-16,4.15832958104105e-15
"G000342125",-2e-04,2e-04,3.1094,6,0.795,0.814887429643527
"G000717745",1e-04,1e-04,1.929,6,0.9261,0.937830027803522
"G000718015",-3e-04,4e-04,25.8851,6,0.0002339,0.000366502963671128
"G000695235",-0.0046,0.0046,60.8467,6,3.028e-11,9.86658449304175e-11
"G000935125",3e-04,3e-04,8.9049,6,0.179,0.200739651043448
"G000717345",-0.0018,0.0018,13.3597,6,0.03767,0.0460125176996646
"G001729485",-8e-04,9e-04,9.5852,6,0.1432,0.162688170055453
"G000721265",-0.003,0.003,23.4073,6,0.0006709,0.000996620936555891
"G000497425",0.0011,0.0011,41.4106,6,2.403e-07,5.62511354439419e-07
"G000818195",0.0021,0.0021,7.5902,6,0.2697,0.295184173622704
"G000718095",-0.002,0.002,19.873,6,0.002917,0.00406486864106561
"G000429085",-0.0016,0.0016,10.8521,6,0.09306,0.10831365443787
"G000375725",-7e-04,7e-04,37.8967,6,1.177e-06,2.57442571174377e-06
"G001905365",-0.0042,0.0042,53.2955,6,1.023e-09,2.94071382636656e-09
"G000010605",-0.0024,0.0025,27.9764,6,9.493e-05,0.0001566345
"G000717025",-2e-04,2e-04,23.2538,6,0.0007158,0.00106043645676409
"G000719335",-0.0026,0.0027,37.2131,6,1.6e-06,3.45355575065847e-06
"G001279725",-0.0022,0.0022,25.4088,6,0.0002868,0.0004437368156073
"G000720455",-0.0023,0.0023,24.0654,6,0.000508,0.000765033996937213
"G001746425",-0.0039,0.0039,73.5972,6,7.461e-14,2.82741710982659e-13
"G001279695",-0.0015,0.0015,13.2364,6,0.03943,0.0480132020802377
"G001278075",-0.0025,0.0025,20.958,6,0.001867,0.00265703010130246
"G000163875",6e-04,6e-04,73.234,6,8.86e-14,3.34469251439539e-13
"G001693675",-0.0024,0.0024,26.0531,6,0.0002176,0.000341888224956063
"G001750785",-0.0031,0.0032,32.6006,6,1.251e-05,2.45506565555777e-05
"G001646665",-0.0019,0.0019,61.4486,6,2.285e-11,7.49522681787859e-11
"G000384175",-0.0042,0.0042,80.9425,6,2.331e-15,9.55525385577324e-15
"G000721275",-0.0042,0.0042,66.5952,6,2.037e-12,7.154235e-12
"G000718595",-0.0019,0.0019,16.2837,6,0.01231,0.0159410771661838
"G000830005",-0.0021,0.0021,13.2304,6,0.03952,0.0481168354587099
"G000253235",-6e-04,6e-04,2.8054,6,0.8328,0.851237418147802
"G000719955",9e-04,0.0011,19.4023,6,0.003536,0.00488659696458685
"G000213055",8e-04,0.001,47.7179,6,1.345e-08,3.52149361022364e-08
"G000827005",-0.0046,0.0046,58.3747,6,9.62e-11,3.00900381679389e-10
"G000373565",-0.001,0.001,23.6723,6,0.0005999,0.000895751078044336
"G000716675",-0.0024,0.0024,13.687,6,0.03333,0.040924862030216
"G000720475",-0.0013,0.0013,15.4521,6,0.01702,0.0216610172123722
"G001419745",-3e-04,3e-04,6.5217,6,0.3673,0.395318835503995
"G001418465",-0.0035,0.0036,64.988,6,4.338e-12,1.49160461538462e-11
"G000716805",-0.0026,0.0026,20.2594,6,0.00249,0.00349859408486927
"G001418335",-0.0022,0.0022,32.8635,6,1.114e-05,2.19893135287033e-05
"G001418655",-0.004,0.0041,77.6596,6,1.088e-14,4.33876399026764e-14
"G000725495",-0.0041,0.0041,62.0487,6,1.724e-11,5.69493315418206e-11
"G000968255",-0.0013,0.0014,22.3887,6,0.001029,0.00150381720909496
"G000009765",-0.0029,0.0029,73.8463,6,6.628e-14,2.51951109393119e-13
"G001298575",-9e-04,9e-04,7.4892,6,0.278,0.303896398399289
"G000376565",-0.0022,0.0022,34.0881,6,6.469e-06,1.31248495976893e-05
"G000331005",-0.0019,0.002,19.5971,6,0.003265,0.00452544186046512
"G000204605",-0.0025,0.0026,18.6069,6,0.004882,0.00662018587975731
"G000317595",-0.0024,0.0024,19.3346,6,0.003634,0.00501427753613021
"G001418475",0,1e-04,2.0208,6,0.9178,0.92990368844014
"G000091305",-0.0055,0.0055,159.2839,6,0,0
"G000819545",-0.0014,0.0014,8.0417,6,0.2351,0.259218903464514
"G000242715",6e-04,6e-04,29.4656,6,4.966e-05,8.51982623866015e-05
"G001654495",-0.002,0.002,29.6178,6,4.646e-05,8.00574101980024e-05
"G001005085",0.0013,0.0013,12.1722,6,0.05824,0.0695485318761384
"G000725795",-0.0029,0.0029,27.1961,6,0.0001331,0.000215457679012346
"G000444875",-0.0016,0.0016,7.5538,6,0.2726,0.298159092425759
"G000718315",-8e-04,8e-04,4.1952,6,0.6503,0.676438565686482
"G000497445",-0.0023,0.0023,16.164,6,0.0129,0.0166656069364162
"G000802245",0.0019,0.0019,14.1982,6,0.0275,0.0341372128250442
"G001511815",-0.0025,0.0025,22.0093,6,0.001206,0.00174717206835592
"G000349325",-0.0026,0.0026,27.0996,6,0.0001387,0.000224116956950378
"G001513975",0.0012,0.0012,20.1693,6,0.002584,0.00362342164551547
"G000225525",6e-04,6e-04,2.8896,6,0.8226,0.841598876404494
"G001509795",-0.0032,0.0032,56.9313,6,1.886e-10,5.74030454967502e-10
"G001418585",-0.0051,0.0051,77.5867,6,1.121e-14,4.4613168757588e-14
"G001514045",-0.0018,0.0018,16.3144,6,0.01216,0.0157613602214314
"G000716215",-0.0032,0.0033,49.4697,6,6.004e-09,1.61188468468468e-08
"G000721105",-2e-04,2e-04,17.101,6,0.008919,0.0117478497187249
"G001279985",-3e-04,4e-04,13.3384,6,0.03797,0.0463559255121043
"G000158955",-0.0012,0.0012,5.547,6,0.4758,0.503715922058349
"G001611795",-0.0014,0.0014,45.0406,6,4.594e-08,1.14113149785299e-07
"G000156435",0.0014,0.0014,45.0321,6,4.612e-08,1.14531333333333e-07
"G001419695",-7e-04,7e-04,46.5726,6,2.277e-08,5.8312546875e-08
"G001418415",-0.0019,0.0019,13.9181,6,0.03056,0.0377262164197841
"G001013905",-0.0029,0.0029,27.0094,6,0.0001442,0.00023208883797054
"G001660045",-2e-04,2e-04,7.073,6,0.3141,0.340595368838902
"G000721235",-0.0042,0.0042,103.7332,6,0,0
"G000203835",-0.0031,0.0031,27.8752,6,9.919e-05,0.00016322531124498
"G000158935",0,2e-04,26.2,6,0.0002043,0.000322537518060684
"G000719025",-0.0026,0.0026,23.6459,6,0.0006067,0.000905492153589315
"G000017305",-0.0031,0.0031,27.8977,6,9.822e-05,0.000161791537688442
"G900101335",-0.0026,0.0026,27.4954,6,0.0001169,0.000190519489559165
"G001426435",-0.0022,0.0022,54.3561,6,6.253e-10,1.83066394760345e-09
"G000023925",0.0038,0.0041,26.1335,6,0.0002102,0.000331054900704676
"G000421185",-0.0051,0.0051,47.5604,6,1.446e-08,3.77287450252056e-08
"G000224715",-0.0057,0.0058,149.9019,6,0,0
"G000421245",-0.0053,0.0053,65.471,6,3.457e-12,1.194523471539e-11
"G000426385",-8e-04,8e-04,49.7464,6,5.285e-09,1.42468996710526e-08
"G001189535",-0.0038,0.0038,40.5886,6,3.489e-07,8.05229429711335e-07
"G000298175",-0.0056,0.0056,83.6787,6,6.661e-16,2.78860255427842e-15
"G000429885",-8e-04,8e-04,18.0411,6,0.00613,0.00821510220768602
"G001515525",-0.0045,0.0045,59.9323,6,4.646e-11,1.49358496240602e-10
"G000298215",9e-04,9e-04,23.1472,6,0.0007486,0.00110652824289794
"G000826525",-0.0026,0.0026,16.0294,6,0.0136,0.0175238993710692
"G000247995",-0.0018,0.0018,20.7695,6,0.002018,0.00286405137826526
"G001021715",-4e-04,4e-04,8.1487,6,0.2274,0.251433730604902
"G000725405",-0.005,0.005,98.4376,6,0,0
"G001594145",-0.0018,0.0018,14.1427,6,0.02808,0.0348000907372401
"G000376825",-7e-04,7e-04,34.1788,6,6.213e-06,1.26315158155882e-05
"G001247745",-0.0024,0.0024,25.4701,6,0.0002794,0.000433378485804416
"G001190945",8e-04,8e-04,18.979,6,0.004199,0.00574790729398664
"G000576575",-0.0037,0.0037,73.8955,6,6.473e-14,2.46344744582043e-13
"G000184685",-0.0029,0.0029,43.3142,6,1.011e-07,2.4362102425876e-07
"G001758225",-0.0011,0.0011,35.2176,6,3.911e-06,8.1226555438226e-06
"G000576595",-0.0023,0.0024,14.9817,6,0.0204,0.0256801843317972
"G001956915",0,2e-04,7.1882,6,0.3038,0.330300630182421
"G000720035",-0.0037,0.0037,39.847,6,4.882e-07,1.11210535093815e-06
"G001428505",-0.0019,0.0019,24.1645,6,0.0004871,0.000734571599447938
"G000383675",-0.002,0.002,15.365,6,0.0176,0.0223760051712993
"G001552435",-0.0021,0.0021,48.92,6,7.736e-09,2.05443759114232e-08
"G000297495",9e-04,9e-04,5.6919,6,0.4586,0.486974667962423
"G001428305",-2e-04,5e-04,13.4172,6,0.03687,0.0450857473265357
"G001050535",-0.0037,0.0037,85.2531,6,3.331e-16,1.4089055483871e-15
"G001046875",-3e-04,3e-04,0.8337,6,0.9911,0.995757805476093
"G001429685",-0.0072,0.0072,122.8336,6,0,0
"G001428025",-0.0022,0.0022,30.6903,6,2.904e-05,5.16698679211145e-05
"G001427915",-2e-04,3e-04,27.8568,6,9.998e-05,0.000164387781307474
"G001046855",-0.0033,0.0034,127.0226,6,0,0
"G000367525",-0.0015,0.0015,23.5232,6,0.0006389,0.00095152848705134
"G000720925",-0.0071,0.0071,196.0714,6,0,0
"G001428065",-0.0013,0.0013,66.6482,6,1.986e-12,6.98759355992844e-12
"G000768695",0.0022,0.0023,84.0098,6,5.551e-16,2.33184681759932e-15
"G000768675",-0.0031,0.0031,53.3572,6,9.942e-10,2.86462431878113e-09
"G000768685",-0.0017,0.0017,7.0485,6,0.3164,0.34301373608202
"G000768705",-5e-04,5e-04,88.5573,6,1.11e-16,4.77295146480105e-16
"G001427985",-0.0039,0.0039,98.6037,6,0,0
"G000152705",-5e-04,5e-04,5.9433,6,0.4296,0.457811703511053
"G000314575",-0.0027,0.0027,45.7165,6,3.371e-08,8.49357263643351e-08
"G001606005",-3e-04,0.0011,6.8186,6,0.3379,0.365355536008796
"G001729525",-0.0014,0.0017,10.2132,6,0.116,0.133342372881356
"G000285915",-1e-04,0.0011,9.8839,6,0.1296,0.148075566399442
"G000178455",-0.0019,0.0019,45.1126,6,4.445e-08,1.10579635719707e-07
"G000285835",-0.0027,0.0027,68.2432,6,9.368e-13,3.3499968e-12
"G000426445",-0.0065,0.0065,101.2205,6,0,0
"G001063195",-0.0013,0.0013,16.7333,6,0.01032,0.0134723058542413
"G001476195",-2e-04,2e-04,17.6174,6,0.007263,0.00965063396838265
"G000011025",-0.0065,0.0065,522.3061,6,0,0
"G000164695",-0.0029,0.0031,198.8086,6,0,0
"G000763765",-0.0054,0.0054,258.8831,6,0,0
"G001275345",-0.0019,0.0019,43.8155,6,8.042e-08,1.9541642698295e-07
"G000800955",0.0016,0.0016,183.1204,6,0,0
"G000786655",-0.0014,0.0014,11.9984,6,0.062,0.0737966594045025
"G001408335",-0.0023,0.0024,18.5688,6,0.004957,0.00671170838496489
"G000010285",-0.003,0.003,24.5582,6,0.0004121,0.000625303409967598
"G001482365",-0.0028,0.0028,31.5822,6,1.962e-05,3.60102799552072e-05
"G001580365",0,4e-04,4.8358,6,0.565,0.591967824419348
"G000786195",-0.001,0.001,8.5347,6,0.2015,0.224385800022647
"G000220985",-0.0018,0.0018,45.1172,6,4.436e-08,1.10383663967611e-07
"G001483765",-0.0042,0.0043,114.7055,6,0,0
"G000455245",6e-04,6e-04,13.3929,6,0.0372,0.0454666666666667
"G000421745",-1e-04,2e-04,69.104,6,6.242e-13,2.24931579333089e-12
"G000224415",-0.0068,0.0068,148.5512,6,0,0
"G000023205",0.0016,0.0016,8.5878,6,0.1981,0.220799659979599
"G001657475",9e-04,9e-04,28.5904,6,7.271e-05,0.000121810926746167
"G000420805",7e-04,7e-04,5.5055,6,0.4808,0.508735442220788
"G001968835",-0.003,0.003,178.8274,6,0,0
"G000688395",-0.0059,0.0059,151.3226,6,0,0
"G001887245",0,3e-04,2.0502,6,0.915,0.927353395856952
"G000348945",0,1e-04,0.2008,6,0.9998,1
"G001281115",-6e-04,6e-04,31.8889,6,1.714e-05,3.18147904869762e-05
"G000197735",0,1e-04,10.3768,6,0.1097,0.126529415904293
"G001302565",-0.0014,0.0014,6.6808,6,0.3514,0.379201975200263
"G000430705",-0.0033,0.0034,66.7366,6,1.905e-12,6.70980300859599e-12
"G000520495",-0.0035,0.0035,93.3199,6,0,0
"G000328305",-0.0042,0.0042,41.7123,6,2.096e-07,4.92993637885673e-07
"G001307035",-0.0024,0.0024,27.9841,6,9.461e-05,0.000156132696761202
"G000520555",5e-04,8e-04,0.6897,6,0.9947,0.998456649994896
"G000816565",-0.0019,0.0019,21.2102,6,0.001682,0.00240139198606272
"G000520515",0.001,0.001,3.4492,6,0.7507,0.772539116785266
"G001428435",-0.0013,0.0013,18.646,6,0.004805,0.00652296659304252
"G000520595",-0.0017,0.0017,48.1016,6,1.128e-08,2.96756340288925e-08
"G000376245",-0.0062,0.0062,231.5326,6,0,0
"G000950575",-2e-04,5e-04,45.3325,6,4.02e-08,1.00617663527615e-07
"G000018885",-0.0086,0.0086,442.4423,6,0,0
"G000802235",-0.0011,0.0011,17.8118,6,0.00672,0.00896547008547009
"G000785535",-0.005,0.005,64.3281,6,5.916e-12,2.01866564885496e-11
